index,lat,lon,postcode
7884,-30.506954,151.672898,2350
0,-32.9087419,151.7079182,2299
3942,-33.9186871,151.0931192,2192
7885,-34.4926881,150.4461253,2576
1,-32.9371956,151.7583949,2291
3943,-33.8409659,150.9921548,2160
7886,-32.7275706,152.0004156,2319
3944,-33.7899792,151.0379714,2117
2,-33.8237597,151.1347923,2110
7887,-28.8284286,153.2807847,2480
3,-33.9717599,151.0583104,2210
3945,-33.7839652,150.9201882,2148
7888,-30.4537751,152.896657,2454
4,-33.7111594,150.8980793,2769
3946,-33.8576908,151.1056389,2137
7889,-31.6352739,152.7224822,2439
5,-33.8249852,150.9269347,2145
3947,-33.7558246,151.2200428,2087
7890,-31.5141883,150.6882593,2343
6,-33.6588316,150.91127,2765
3948,-33.9724998,151.1364883,2217
7,-33.6709811,150.609392,2777
7891,-34.0657492,150.832466,2560
3949,-33.7287092,151.2174832,2085
8,-33.9983719,150.7286833,2570
7892,-34.4056218,150.8887492,2500
3950,-33.820487,151.11565684426995,2112
9,-34.0560306,150.7280385,2570
7893,-28.8142159,153.3345911,2480
3951,-32.9493799,151.7492865,2291
10,-33.8060306,150.6810924,2745
3952,-33.7595224,150.9487765,2147
11,-34.0278391,150.7856999,2557
7894,-28.3279002,153.3813103,2484
3953,-33.708064,151.052054,2126
12,-34.0274356,150.7731896,2557
7895,-35.9059324,150.067522,2537
3954,-33.9816408,151.1020816,2221
13,-33.2942947,151.4709201,2259
7896,-28.8036381,153.3068966,2480
3955,-33.7389276,151.0004043,2154
14,-33.0699623,151.463366,2265
7897,-33.821865,148.678486,2794
3956,-33.9756503,151.110571,2221
15,-32.725265,151.627348,2321
7898,-33.897038,150.913067,2166
3957,-33.68619,151.107766,2077
16,-28.818277,153.4264466,2477
7899,-33.779179,150.82738,2770
3958,-33.9573613,150.9452667,2173
17,-32.728198,151.558567,2320
7900,-33.723758,150.316073,2780
3959,-33.840816,151.0123922,2142
18,-35.317801,150.4279385,2538
7901,-34.5937871,150.5981437,2577
3960,-33.7484297,150.9884559,2153
19,-33.48963875,150.13814534071668,2790
