id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,price
1,"10 High Street, North Lambton",3,2,,253m²,"$895,000"
2,"44A Kenrick Street, The Junction",4,2,1,244m²,"$2,660,000"
3,"26 Earl Street, Hunters Hill",3,3,2,313.1m²,"$2,650,000"
4,"186 Lorraine Street, Peakhurst Heights",5,3,5,380m²,"$2,620,000"
5,"51 Katoomba Street, The Ponds",4,2,1,250m²,"$1,357,500"
6,"15 Binnet Street, Pemulwuy",4,2,1,275m²,"$1,335,000"
7,"30 Zeta Street, Box Hill",4,3,2,335m²,"$1,315,000"
8,"1/70 White Cross Road, Winmalee",4,2,2,395m²,"$1,180,000"
9,"46 Steward Drive, Oran Park",4,2,2,375m²,"$1,095,000"
10,"9 Kingsman Avenue, Elderslie",4,2,2,363m²,"$1,085,000"
11,"3 Ewan James Drive, Glenmore Park",3,2,2,350m²,"$1,080,000"
12,"107 Kavanagh Street, Gregory Hills",5,2,1,255m²,"$975,000"
13,"112 Healy Avenue, Gregory Hills",3,2,1,285m²,"$927,000"
14,"2 Marine Parade, Rocky Point",3,1,2,354m²,"$860,000"
15,"88 Avondale Road, Cooranbong",4,2,2,373m²,"$850,000"
16,"2 Market Street, Morpeth",2,1,2,315.6m²,"$845,000"
17,"1/46 Avalon Avenue, Wollongbar",3,2,2,307m²,"$800,000"
18,"2 Lorn Street, Lorn",4,1,4,326.9m²,"$770,000"
19,"44A Corks Lane, Milton",4,2,1,308m²,"$745,000"
20,"13 Bayonet Street, Lithgow",3,1,1,385.7m²,"$585,000"
21,"38 Betty Cuthbert Drive, Lidcombe",5,2,2,351m²,"$1,970,000"
22,"391 Blaxland Road, Denistone East",3,2,4,379.4m²,"$1,590,000"
23,"25 Bundle Street, Caddens",5,3,2,388m²,"$1,565,000"
24,"18 Tatham Road, Colebee",6,4,2,336m²,"$1,400,000"
25,"232 Mount Annan Drive, Mount Annan",5,3,2,379.3m²,"$1,325,000"
26,"9 Ernest Street, Glenwood",3,1,2,350.7m²,"$1,250,000"
27,"22 Putland Street, Grantham Farm",4,2,2,400m²,"$1,230,000"
28,"66 Ganugan Road, Austral",4,2,2,322.3m²,"$1,215,000"
29,"10a Erica Lane, Minto",4,3,1,356m²,"$1,210,000"
30,"43A Cross Street, Doonside",4,2,2,273m²,"$1,005,000"
31,"53 Dunkirk Road, Edmondson Park",3,2,2,247.1m²,"$995,000"
32,"16 Hargraves Street, The Entrance North",3,1,1,348m²,"$830,000"
33,"1 Arundel Street, Glebe",7,1,,225m²,"$2,400,000"
34,"85 Dawson Street, Cooks Hill",3,2,1,323m²,"$2,150,000"
35,"20 Karuk Street, Pemulwuy",5,3,2,355.9m²,"$2,010,000"
36,"40 Opperman Drive, North Kellyville",3,2,2,378m²,"$1,550,000"
37,"7 Lomond Court, Wattle Grove",3,1,2,324m²,"$1,450,000"
38,"23 Moonlight Street, Schofields",4,2,2,318.5m²,"$1,310,000"
39,"132 Gosford Road, Adamstown",4,2,1,316m²,"$1,150,000"
40,"43 Newhaven Avenue, Gables",4,2,2,270m²,"$1,080,000"
41,"19a Brotherton Street, South Wentworthville",3,2,1,281m²,"$997,000"
42,"1/2 Eric Close, Narara",3,1,2,318m²,"$735,000"
43,"392A Tuggerawong Road, Tuggerawong",3,2,1,371m²,"$605,000"
44,"2 Albury Street, Wagga Wagga",2,1,2,398.4m²,"$566,000"
45,"2 Houtman Avenue, Shell Cove",4,2,2,379m²,"$1,400,000"
46,"21 Killarney Crescent, Skennars Head",3,2,2,400m²,"$1,300,000"
47,"26 Raewyn Crescent, Schofields",4,3,2,271m²,"$1,240,000"
48,"84 Banfield Drive, Oran Park",4,2,2,375m²,"$1,167,000"
49,"35 McKervey Street, Catherine Field",5,2,2,300m²,"$1,160,000"
50,"12 Governor Street, Jordan Springs",4,2,2,375m²,"$1,087,000"
51,"20 Cherry Circuit, Gregory Hills",3,2,1,300.5m²,"$976,000"
52,"96 THORNE STREET, Wagga Wagga",3,2,1,341m²,"$960,000"
53,"39 Stephenson Drive, Ropes Crossing",4,2,1,270m²,"$930,000"
54,"2 Honey Myrtle Road, Warnervale",3,2,2,383m²,"$900,000"
55,"7 Spearing Street, Wilton",3,2,1,250m²,"$870,000"
56,"34 Sparke Street, Georgetown",3,1,,373m²,"$820,000"
57,"32 Sparke Street, Georgetown",3,1,,373m²,"$780,000"
58,"1/15 Vera Court, Mudgee",3,2,2,267m²,"$621,000"
59,"1/8-12 Narregol Street, Pambula",2,1,2,387m²,"$615,000"
60,"329 Main Street, Lithgow",4,1,,318m²,"$505,000"
61,"27 Evergreen Drive, Cromer",5,4,2,388m²,"$2,900,000"
62,"6A Bidurgal Avenue, Kirrawee",4,3,2,348m²,"$2,020,000"
63,"5 Fenway Street, North Kellyville",4,2,2,387m²,"$1,635,000"
64,"931 Anzac Parade, Maroubra",3,1,4,297m²,"$1,602,000"
65,"6 Daddo Street, Oran Park",4,2,2,375m²,"$1,350,000"
66,"47 Henson Street, Merrylands",5,3,1,361.1m²,"$1,305,888"
67,"14 Dara Crescent, Glenmore Park",4,2,1,400m²,"$1,213,000"
68,"5a Fife Street, Blacktown",4,2,2,356m²,"$1,132,000"
69,"13 Myakka Way, Leppington",4,2,1,358m²,"$1,088,000"
70,"75 Ingleburn Gardens Drive, Bardia",3,2,1,155.14m²,"$1,050,000"
71,"74a Stoneyhurst Drive, Lennox Head",3,2,1,314m²,"$1,020,000"
72,"81 Eighteenth Avenue, Austral",3,2,1,285m²,"$1,005,000"
73,"9B Coucal Avenue, Hinchinbrook",4,1,1,326.9m²,"$957,500"
74,"2/36 Botanical Circuit, Banora Point",3,2,2,393m²,"$940,000"
75,"30 John Street, Rooty Hill",3,1,2,354m²,"$900,000"
76,"9 Collier Close, St Helens Park",3,1,1,382m²,"$870,000"
77,"6 Bendtree Cove, Thornton",3,1,1,361.7m²,"$720,000"
78,"5 Nardoo Avenue, Aberglasslyn",3,1,1,390.6m²,"$685,000"
79,"3a Wamsley Street, Dora Creek",3,1,1,377.4m²,"$610,000"
80,"1299 Bunnerong Road, Little Bay",3,2,4,180m²,"$1,950,000"
81,"119 Webber Circuit, Bardia",3,2,1,230m²,"$900,000"
82,"52 Alexander Street, Manly",3,1,2,278.2m²,"$4,230,000"
83,"8A Besborough Avenue, Bexley",6,6,2,384.1m²,"$2,610,000"
84,"19B Kenneth Avenue, Kirrawee",5,3,1,366.8m²,"$2,115,000"
85,"6 Singleton Street, Earlwood",3,2,1,392m²,"$1,896,000"
86,"199 Norton Street, Ashfield",3,2,,328.8m²,"$1,689,000"
