id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
1,"14 Kells Road, Ryde, NSW 2112",4,3,4,544m²,House,"$4,250,000"
1,"24 Plimsoll Street, Sans Souci, NSW 2219",4,3,3,502m²,House,"$3,375,000"
1,"17 Tulong Avenue, Oatlands, NSW 2117",4,2,2,929m²,House,"$3,205,000"
1,"6 Charlotte Grove, Bella Vista, NSW 2153",5,3,2,913m²,House,"$2,750,000"
1,"1 Iraga Place, Forestville, NSW 2087",3,1,2,721m²,House,"$2,720,000"
1,"28B Olive Street, Kingsgrove, NSW 2208",5,3,2,359m²,Duplex/semi-detached,"$2,660,000"
1,"260 Old Canterbury Road, Summer Hill, NSW 2130",3,1,2,385.7m²,House,"$2,586,000"
1,"2 Telopea Avenue, Strathfield, NSW 2135",3,2,2,442m²,House,"$2,500,000"
1,"46 Dora Street, Hurstville, NSW 2220",3,1,4,493m²,House,"$2,375,000"
1,"32 Drayton Avenue, Castle Hill, NSW 2154",5,3,2,942m²,House,"$2,310,000"
1,"88 Connells Point Road, South Hurstville, NSW 2221",5,2,3,600m²,House,"$2,272,000"
1,"43 Kerrs Road, Castle Hill, NSW 2154",4,2,4,708m²,House,"$2,210,000"
1,"19 Anthony Road, Castle Hill, NSW 2154",4,2,1,916m²,House,"$2,210,000"
1,"19 Blackbutt Avenue, Pennant Hills, NSW 2120",3,1,2,929.3m²,House,"$2,102,000"
1,"4 Long Avenue, East Ryde, NSW 2113",4,2,1,524m²,House,"$2,080,000"
1,"11a Knight Ave, Panania, NSW 2213",5,5,3,,Duplex/semi-detached,"$2,030,000"
1,"104a George Street, South Hurstville, NSW 2221",4,2,5,707m²,House,"$2,010,000"
1,"14 Cook Street, Glebe, NSW 2037",2,1,,120m²,House,"$1,975,000"
1,"13 Emily Street, Mount Druitt, NSW 2770",4,3,2,"1,012m²",House,"$1,800,000"
1,"38 Aplin Road, Bonnyrigg Heights, NSW 2177",3,1,2,915m²,House,"$1,790,000"
1,"83a Northcote Road, Greenacre, NSW 2190",6,2,4,645.8m²,House,"$1,750,000"
1,"24 Gosling Street, Greenacre, NSW 2190",4,3,3,650.21m²,House,"$1,650,000"
